HABIT,GROUP,DATE,DAY,TIME,VALUE,NOTE
BR,,20180825,SAT,12.1.52,1.0,
BR,,20180825,SAT,12.1.52,1.0,
BR,,20180825,SAT,12.1.52,1.0,
BR,,20180825,SAT,19.23.35,1.0,
BR,,20180825,SAT,19.23.35,1.0,
BR,,20180825,SAT,19.32.23,1.0,
BR,,20180825,SAT,19.32.32,1.0,
BR,,20180825,SAT,19.32.36,1.0,
BR,,20180825,SAT,19.32.41,1.0,
BR,,20180826,SUN,5.50.33,1.0,
BR,,20180826,SUN,5.50.33,1.0,
BR,,20180826,SUN,5.50.33,1.0,
BR,,20180826,SUN,5.50.33,1.0,
BR,,20180826,SUN,5.50.33,1.0,
BR,,20180826,SUN,5.50.33,1.0,
BR,,20180826,SUN,12.2.11,1.0,
BR,,20180826,SUN,13.39.52,1.0,
BR,,20180827,MON,5.51.0,1.0,
BR,,20180827,MON,9.33.56,1.0,
BR,,20180827,MON,9.34.10,1.0,
BR,,20180827,MON,9.34.12,1.0,
BR,,20180827,MON,9.34.13,1.0,
BR,,20180827,MON,13.29.0,1.0,
BR,,20180827,MON,13.29.0,1.0,
BR,,20180827,MON,20.7.24,1.0,
BR,,20180827,MON,21.52.25,1.0,
BR,,20180827,MON,23.58.53,1.0,
BR,,20180828,TUE,7.25.57,1.0,
BR,,20180828,TUE,9.39.20,1.0,
BR,,20180828,TUE,10.26.34,1.0,
BR,,20180828,TUE,13.33.10,1.0,
BR,,20180828,TUE,17.2.39,1.0,
BR,,20180828,TUE,19.23.48,1.0,
BR,,20180828,TUE,21.7.2,1.0,
BR,,20180829,WED,7.36.42,1.0,
BR,,20180829,WED,9.42.16,1.0,
BR,,20180829,WED,10.40.14,1.0,
BR,,20180829,WED,14.35.38,1.0,
BR,,20180829,WED,16.13.28,1.0,
BR,,20180829,WED,20.10.39,1.0,
BR,,20180829,WED,22.23.4,1.0,
BR,,20180830,THU,10.31.4,1.0,
BR,,20180830,THU,10.31.5,1.0,
BR,,20180830,THU,10.31.7,1.0,
BR,,20180830,THU,14.54.49,1.0,
BR,,20180830,THU,17.38.37,1.0,
BR,,20180830,THU,20.53.19,1.0,
BR,,20180830,THU,22.35.29,1.0,
BR,,20180831,FRI,1.18.40,1.0,
BR,,20180831,FRI,1.18.40,1.0,
BR,,20180831,FRI,5.28.50,1.0,
BR,,20180831,FRI,8.4.30,1.0,
BR,,20180831,FRI,10.40.27,1.0,
BR,,20180831,FRI,18.2.41,1.0,
BR,,20180831,FRI,18.2.55,1.0,
BR,,20180831,FRI,21.21.18,1.0,
BR,,20180901,SAT,7.8.25,1.0,
BR,,20180901,SAT,7.8.25,1.0,
BR,,20180901,SAT,9.11.29,1.0,
BR,,20180901,SAT,9.43.41,1.0,
BR,,20180901,SAT,11.15.12,1.0,
BR,,20180901,SAT,12.50.16,1.0,
BR,,20180901,SAT,16.26.36,1.0,
BR,,20180901,SAT,16.26.37,1.0,
BR,,20180901,SAT,21.33.53,1.0,
BR,,20180901,SAT,23.30.54,1.0,
BR,,20180902,SUN,0.5.48,1.0,
BR,,20180902,SUN,0.5.48,1.0,
BR,,20180902,SUN,8.46.41,1.0,
BR,,20180902,SUN,14.0.29,1.0,
BR,,20180902,SUN,16.45.25,1.0,
BR,,20180902,SUN,20.6.38,1.0,
BR,,20180903,MON,7.5.55,1.0,
BR,,20180903,MON,12.51.44,1.0,
BR,,20180903,MON,14.55.38,1.0,
BR,,20180903,MON,16.59.14,1.0,
BR,,20180903,MON,19.41.43,1.0,
BR,,20180904,TUE,7.23.54,1.0,
BR,,20180904,TUE,10.28.58,1.0,
BR,,20180904,TUE,11.27.3,1.0,
BR,,20180904,TUE,20.10.12,1.0,
BR,,20180904,TUE,20.10.13,1.0,
BR,,20180905,WED,7.8.28,1.0,
BR,,20180905,WED,7.57.48,1.0,
BR,,20180905,WED,9.5.38,1.0,
BR,,20180905,WED,11.27.47,1.0,
BR,,20180905,WED,16.23.50,1.0,
BR,,20180905,WED,17.0.16,1.0,
BR,,20180904,TUE,7.23.54,1.0,
BR,,20180904,TUE,10.28.58,1.0,
BR,,20180904,TUE,11.27.3,1.0,
BR,,20180904,TUE,20.10.12,1.0,
BR,,20180904,TUE,20.10.13,1.0,
BR,,20180905,WED,7.8.28,1.0,
BR,,20180905,WED,7.57.48,1.0,
BR,,20180905,WED,9.5.38,1.0,
BR,,20180905,WED,11.27.47,1.0,
BR,,20180905,WED,16.23.50,1.0,
BR,,20180905,WED,17.0.16,1.0,
BR,,20180906,THU,7.29.16,1.0,
BR,,20180906,THU,7.29.16,1.0,
